FOUND 178 WORDS, WITH MAX POINTS 82000

NOS: ((3, 2), (2, 2), (1, 3))
NOY: ((3, 2), (2, 2), (1, 1))
NOY: ((2, 1), (2, 2), (1, 1))
NUT: ((2, 1), (1, 0), (2, 0))
NUT: ((2, 1), (3, 0), (2, 0))
OHO: ((2, 2), (2, 3), (3, 3))
OHO: ((3, 3), (2, 3), (2, 2))
OHS: ((3, 3), (2, 3), (1, 3))
OHS: ((2, 2), (2, 3), (1, 3))
ONE: ((3, 3), (3, 2), (3, 1))
ONE: ((2, 2), (2, 1), (3, 1))
ONE: ((2, 2), (3, 2), (3, 1))
ONO: ((2, 2), (3, 2), (3, 3))
ONO: ((3, 3), (3, 2), (2, 2))
ONY: ((2, 2), (2, 1), (1, 1))
OOH: ((2, 2), (3, 3), (2, 3))
OOH: ((3, 3), (2, 2), (2, 3))
OON: ((2, 2), (3, 3), (3, 2))
OON: ((3, 3), (2, 2), (3, 2))
OON: ((3, 3), (2, 2), (2, 1))
OOR: ((3, 3), (2, 2), (1, 2))
OOS: ((3, 3), (2, 2), (1, 3))
ORA: ((2, 2), (1, 2), (0, 1))
ORC: ((2, 2), (1, 2), (0, 3))
ORD: ((2, 2), (1, 2), (0, 2))
ORS: ((2, 2), (1, 2), (1, 3))
RAD: ((1, 2), (0, 1), (0, 2))
RAW: ((1, 2), (0, 1), (0, 0))
RAY: ((1, 2), (0, 1), (1, 1))
RHO: ((1, 2), (2, 3), (3, 3))
RHO: ((1, 2), (2, 3), (2, 2))
ROE: ((1, 2), (2, 2), (3, 1))
ROO: ((1, 2), (2, 2), (3, 3))
RYA: ((1, 2), (1, 1), (0, 1))
RYU: ((1, 2), (1, 1), (1, 0))
SHO: ((1, 3), (2, 3), (2, 2))
SHO: ((1, 3), (2, 3), (3, 3))
SOH: ((1, 3), (2, 2), (2, 3))
SON: ((1, 3), (2, 2), (2, 1))
SON: ((1, 3), (2, 2), (3, 2))
SOY: ((1, 3), (2, 2), (1, 1))
TEN: ((2, 0), (3, 1), (2, 1))
TEN: ((2, 0), (3, 1), (3, 2))
TUN: ((2, 0), (3, 0), (2, 1))
TUN: ((2, 0), (1, 0), (2, 1))
UTE: ((3, 0), (2, 0), (3, 1))
UTE: ((1, 0), (2, 0), (3, 1))
UTU: ((3, 0), (2, 0), (1, 0))
UTU: ((1, 0), (2, 0), (3, 0))
WAD: ((0, 0), (0, 1), (0, 2))
WAR: ((0, 0), (0, 1), (1, 2))
WAY: ((0, 0), (0, 1), (1, 1))
WYN: ((0, 0), (1, 1), (2, 1))
YAD: ((1, 1), (0, 1), (0, 2))
YAR: ((1, 1), (0, 1), (1, 2))
YAW: ((1, 1), (0, 1), (0, 0))
YON: ((1, 1), (2, 2), (3, 2))
YON: ((1, 1), (2, 2), (2, 1))
